interaction_id,user_id,user_type,place_id,place_name,source,split,pref_quiet,pref_light,pref_low_crowd,pref_privacy,pref_outlet,pref_distance,pref_thermal_air,pref_control,pref_comfort,pref_deepwork,general_place_type,general_task_type,general_social_mode,general_stay_duration,general_time_slot,general_distraction_noise,general_distraction_crowd,general_distraction_visual,general_distraction_temperature,general_distraction_outlet,general_distraction_distance,general_priority_quiet,general_priority_outlet,general_priority_distance,general_priority_comfort,general_priority_privacy,place_type,task_type,group_size,stay_duration,time_slot,day_type,distance_minutes,weather,indoor_outdoor,visit_frequency,place_quiet,place_light,place_low_crowd,place_low_visual_distraction,place_control,place_comfort,place_outlet,place_task_fit,place_temperature_air,place_seat_availability,quiet_match,light_match,crowd_match,privacy_match,outlet_match,thermal_air_match,control_match,comfort_match,deepwork_task_match,distance_penalty,task_place_fit_match,time_match,satisfaction_score,predicted_satisfaction_score
I0001,U001,balanced,P061,home_07,synthetic,train,4,4,4,3,5,4,4,3,3,4,study_room,coding,mostly_solo,under_1h,afternoon,1,1,0,1,1,1,1,1,1,0,0,home,report_writing,solo,2_4h,evening,weekday,17.2,cloudy,indoor,sometimes,4,4,4,4,4,4,4,5,4,5,16,16,16,12,20,16,12,12,3.4,8.6,20,0.5,73.6,68.73164866961636
I0002,U001,balanced,P007,library_07,synthetic,train,4,4,4,3,5,4,4,3,3,4,study_room,coding,mostly_solo,under_1h,afternoon,1,1,0,1,1,1,1,1,1,0,0,library,report_writing,solo,over_4h,late_night,weekend,12.7,clear,indoor,first_time,5,4,3,4,3,3,4,5,4,4,20,16,12,12,20,16,9,9,3.4,6.3,20,0.0,67.4,66.46326408188102
I0003,U001,balanced,P046,cafe_10,synthetic,train,4,4,4,3,5,4,4,3,3,4,study_room,coding,mostly_solo,under_1h,afternoon,1,1,0,1,1,1,1,1,1,0,0,cafe,light_reading,solo,under_1h,late_night,weekday,11.0,clear,indoor,often,3,4,2,3,2,4,3,4,3,3,12,16,8,9,15,12,6,12,1.8,5.5,12,0.0,55.0,56.46560802378085
I0004,U001,balanced,P106,dorm_lounge_10,synthetic,train,4,4,4,3,5,4,4,3,3,4,study_room,coding,mostly_solo,under_1h,afternoon,1,1,0,1,1,1,1,1,1,0,0,dorm_lounge,light_reading,3_4,1_2h,evening,weekday,8.2,clear,indoor,often,3,3,2,3,3,4,3,3,3,3,12,12,8,9,15,12,9,12,1.8,4.1,9,0.5,51.8,54.881072788295384
I0005,U001,balanced,P025,study_room_07,synthetic,train,4,4,4,3,5,4,4,3,3,4,study_room,coding,mostly_solo,under_1h,afternoon,1,1,0,1,1,1,1,1,1,0,0,study_room,team_project,5_plus,over_4h,afternoon,weekday,4.9,hot,indoor,often,4,4,3,4,4,4,4,5,4,3,16,16,12,12,20,16,12,12,1.0,2.4,15,1.0,73.9,70.9374921783466
I0006,U001,balanced,P010,library_10,synthetic,train,4,4,4,3,5,4,4,3,3,4,study_room,coding,mostly_solo,under_1h,afternoon,1,1,0,1,1,1,1,1,1,0,0,library,report_writing,solo,2_4h,afternoon,weekday,8.0,hot,indoor,sometimes,5,5,4,4,3,4,4,5,4,5,20,20,16,12,20,16,9,12,3.4,4.0,20,1.0,71.0,73.8465583915443
I0007,U001,balanced,P034,study_room_16,synthetic,train,4,4,4,3,5,4,4,3,3,4,study_room,coding,mostly_solo,under_1h,afternoon,1,1,0,1,1,1,1,1,1,0,0,study_room,light_reading,solo,2_4h,evening,weekday,10.1,cloudy,indoor,sometimes,4,4,4,4,4,3,4,4,5,3,16,16,16,12,20,20,12,9,1.8,5.0,12,0.5,72.7,66.68871547120263
I0008,U001,balanced,P067,classroom_05,synthetic,train,4,4,4,3,5,4,4,3,3,4,study_room,coding,mostly_solo,under_1h,afternoon,1,1,0,1,1,1,1,1,1,0,0,classroom,coding,solo,2_4h,afternoon,weekday,4.7,rainy,indoor,often,3,4,3,3,3,2,3,4,3,3,12,16,12,9,15,12,9,6,3.6,2.4,16,1.0,63.4,60.599352155875835
I0009,U001,balanced,P010,library_10,synthetic,train,4,4,4,3,5,4,4,3,3,4,study_room,coding,mostly_solo,under_1h,afternoon,1,1,0,1,1,1,1,1,1,0,0,library,coding,2,over_4h,afternoon,weekday,11.1,cloudy,indoor,sometimes,5,5,4,4,3,4,4,3,4,5,20,20,16,12,20,16,9,12,3.6,5.6,12,1.0,58.7,65.50575851820041
I0010,U001,balanced,P037,cafe_01,synthetic,train,4,4,4,3,5,4,4,3,3,4,study_room,coding,mostly_solo,under_1h,afternoon,1,1,0,1,1,1,1,1,1,0,0,cafe,deep_study,solo,1_2h,early_morning,weekday,12.8,clear,indoor,sometimes,3,4,2,2,2,4,3,2,4,4,12,16,8,6,15,16,6,12,4.0,6.4,8,0.0,46.6,54.545437749470054
I0011,U002,comfort_oriented,P086,coworking_space_02,synthetic,train,3,3,4,4,4,3,4,4,4,4,cafe,coding,mostly_solo,1_2h,afternoon,0,1,1,1,1,0,0,1,0,1,1,coworking_space,light_reading,solo,1_2h,afternoon,weekday,14.8,clear,indoor,first_time,3,4,4,4,5,3,4,3,4,4,9,12,16,16,16,16,20,12,1.8,5.5,9,1.0,65.3,60.71549056426968
I0012,U002,comfort_oriented,P087,coworking_space_03,synthetic,train,3,3,4,4,4,3,4,4,4,4,cafe,coding,mostly_solo,1_2h,afternoon,0,1,1,1,1,0,0,1,0,1,1,coworking_space,deep_study,solo,over_4h,evening,weekday,22.4,rainy,indoor,rarely,4,4,3,2,5,4,4,3,4,4,12,12,12,8,16,16,20,16,4.0,8.4,12,0.5,60.6,59.44255109107506
I0013,U002,comfort_oriented,P040,cafe_04,synthetic,train,3,3,4,4,4,3,4,4,4,4,cafe,coding,mostly_solo,1_2h,afternoon,0,1,1,1,1,0,0,1,0,1,1,cafe,deep_study,solo,2_4h,morning,weekend,5.9,rainy,indoor,sometimes,3,4,2,3,3,4,3,3,4,3,9,12,8,12,12,16,12,16,4.0,2.2,12,0.5,57.8,59.640347724994356
I0014,U002,comfort_oriented,P039,cafe_03,synthetic,train,3,3,4,4,4,3,4,4,4,4,cafe,coding,mostly_solo,1_2h,afternoon,0,1,1,1,1,0,0,1,0,1,1,cafe,team_project,5_plus,1_2h,evening,weekday,12.1,clear,indoor,often,3,4,2,3,2,4,3,3,4,4,9,12,8,12,12,16,8,16,1.0,4.5,9,0.5,56.5,59.990525837820535
I0015,U002,comfort_oriented,P059,home_05,synthetic,train,3,3,4,4,4,3,4,4,4,4,cafe,coding,mostly_solo,1_2h,afternoon,0,1,1,1,1,0,0,1,0,1,1,home,report_writing,solo,over_4h,late_night,weekday,10.2,clear,indoor,rarely,4,5,5,4,5,4,4,4,5,5,12,15,20,16,16,20,20,16,3.4,3.8,16,0.0,60.5,71.68022461057083
I0016,U002,comfort_oriented,P040,cafe_04,synthetic,train,3,3,4,4,4,3,4,4,4,4,cafe,coding,mostly_solo,1_2h,afternoon,0,1,1,1,1,0,0,1,0,1,1,cafe,online_class,solo,under_1h,evening,weekday,8.2,rainy,indoor,often,3,4,2,3,3,4,3,3,4,3,9,12,8,12,12,16,12,16,2.6,3.1,9,0.5,58.0,59.13508331364967
